FILER_ID,FILER_NAME
1,Anna Lewis For State Senate
10,Friends Of Sheila Marcotte
100,Friends Of Paul Whalen
1000,Friends Of Marvin
10000,Concerned Bronx Residents For Change
10001,Friends Of Jim Doyle
10002,Babylon Tea Party
10003,Friends Of Don Zambotti Committee To Elect
10004,Friends Of Whitesell
10005,Friends Of Yuhanna J. Edwards
10006,Bruno Schickel For Dryden Supervisor
10007,Elect Jennifer Stevenson
10008,Friends Of John Kelly
10009,Joe Lhota For Mayor Inc
1001,Citizens For Judge Stephen K. Lindley
10010,Marion For Supreme Court
10011,Friends Of Christine Benedict
10012,Friends Of Cheryl Potter-Juda
10013,We Count
10014,East Hampton Financial Report
10015,Friends Of Joseph Gravagna
10016,Friends Of Jeremy Brandt
10017,Committee To Re-Elect Mark Dillon
10018,Van Allen For Judge
10019,Walter For Erie County
1002,Friends Of Paul W. Heroux Sr.
10020,Vince De Lucia For Town Supervisor
10021,Friends Of Alison Simon
10022,Bill Nuckel For Mayor
10023,Friends Of Rosemary Centi
10024,Richard Thomas For Mayor
10025,Committee To Elect Judge Hanuszczak Surrogate
10026,Committee To Elect Patsy Gouldborne Civil Court Judge
10027,Committee To Elect Paul Jonke
10028,Friends Of Lois Menyweather
10029,Friends Of Aaron Price
1003,Friends Of Nancy Casso 2015
10030,Phil Friends Of (P.F.O)
10031,Helen Hines For City Council
10032,Friends For Eric Soehnlein
10033,Troncelliti For City Council 2017
10034,Friends Of Dom Pascual
10035,Elect New Concord
10036,Citizens For Jarosh
10037,Friends Of Paige Bellenbaum
10038,Friends Of Joe Mellace 14
10039,Friends Of Travis Dann
1004,Friends For Major Change
10040,Committee For The 10th Ward
10041,Friends Of James Glorioso Jr.
10042,Friends Of Bruce Hidley
10043,Darius For Treasurer
10044,Friends Of Michael Isgur
10045,Friends Of Patrick Sportelli
10046,Committee To Elect Lisa Lorman Amsterdam City Court Judge
10047,Jaeger For County Court
10048,Plaat For Albany (Pfa)
10049,Salamanca 2017
1005,Jean For Justice
10050,Friends Of John Frainier
10051,Friends Of Judge Flanagan
10052,Donald Jeff Haas For Supervisor
10053,Suffern Pride 2015
10054,Friends Of Frank Bogulski
10055,Judge Massry For Supreme Court
10056,Friends To Elect Julie Garcia
10057,Queens Conservative Dinner Comm
10058,Teachers For Todd
10059,Friends Of Julian Clayton
1006,Committee To Elect Russell Defranco
10060,Mark L Powers For Supreme Court
10061,Committee To Elect Jordan
10062,Friends Of Morgan Zegers
10063,Helen 2017
10064,Friends Of Fanny Effie Meyer
10065,Greater Rochester Lgbtq Political Caucus
10066,Teachers For Christine
10067,Defrancisco For New York
10068,Friends Of Sylvia Santiago (Foss)
10069,Friends Of David Koenigsberg
1007,One New Castle
10070,Blake For New York
10071,Committee To Elect David A. Rivera
10072,Friends To Elect Claude Oliver
10073,F L Palmisano For Supervisor Frank Leonard
10074,Friends Of Robert Johnston
10075,Josh Lafazan For Responsible Government
10076,Inez Barron For City Council
10077,Friends Of Louis Imbroto 2017
10078,Friends Of Dan Livingston
10079,Espinal For New York City
1008,Sanitation Vote No Committee
10080,Friends Of Tammy S. Robbins
10081,Shaw4hamburg (Shaw For Hamburg)
10082,George For Mayor
10083,Friends Of Stefanie A. Heath
10084,Technologists For New York
10085,Committee For Income Targeted Affordable Housing Citah
10086,Committee To Elect Skyler Johnson
10087,Impac (IM Mad Political Action Committee)
10088,Sweet For Ny
10089,Putnam For Assembly
1009,Coalition For Core Values
10090,Committee To Elect Rita Joseph
10091,Friends For Tamarie Cataldo
10092,Friends To Elect Jim Chamberlain
10093,Friends Of Jenn Puja
10094,Committee To Elect Lenora Foote Beavers
10095,Friends Of Janet Hannigan Guerra
10096,Sharpe For Supervisor
10097,Friends Of Karen Hoak
10098,Friends Of James M. Greenberg
10099,Salatino For Assembly
101,Donovan For New York
1010,Burke For Assembly
10100,Emily Martz For State Senate
10101,Chris Garvey For D A (D A = District Attorney)
10102,Committee To Retain Judge Heneghan
10103,Elect Eramo
10104,Committee To Elect Walt Mackney
10105,Keep Dave Heim Town Justice
10106,Friends For Gina Barbara 2019
10107,Wind For New York
10108,Friends Of Judge Andra Ackerman
10109,Friends Of Mark Supples
1011,Andrews4progress
10110,Vote Kamal
10111,Committee To Re-Elect Judge John W. Bailey
10112,Vote Omari Shakur
10113,Committee To Elect Christine Stage
10114,Friends Of Pat Gizzo For Harrison Justice Committee
10116,Friends Of Brian Cahill
10117,Democratic Party Of Livngston
10118,Nantasha 2021
10119,Judge Rose For Family Court
1012,Friends Of Alex Hammond
10120,Committee To Elect Judge Pavone
10121,Richmond County Sam Committee
10122,Chris Chin For Civil Court
10123,Friends Of Jose L. Flete
10124,Torres Pac
10125,Serve New York (Serve Ny)
10126,Keck For Assembly
10127,True Independents For Western New York
10128,Spitzer 2010 Inc.
10129,Dick Jorgensen For Senate
1013,Committee To Elect Ed Bond
10130,The Committee To Re-Elect Judge Linda Poust Lopez
10131,Friends Of Lisa M. Petrocelli
10132,Friends Of Bridget OToole
10133,Committee To Re-Elect Letitia James
10134,Zumbluskas 2010
10135,Committee To Elect Sam Sloan
10136,Friends Of Mohsen
10137,Friends Of Natural Gas Pac Inc. (Pac = Political Action Committee)
10138,Friends Of Adolphus (Al). Frazier
10139,Friends Of Lawrence Miller
1014,Peter Koo For New York
10140,Democratic Action
10141,Friends Of Judge James Hudson
10142,Friends To Elect Anthony Dicarlo
10143,Committee To Elect Bill Small
10144,Friends Of Anne Curran
10145,Committee To Elect Charles Wasserman
10146,Action Fund For Good Government
10147,Bellinson For State Senate
10148,Committee To Elect Dennis Holland
10149,Friends Of Francois Rivera
1015,Westfield Democratic Committee
10150,Rockland County Pba Association Pac Ny
10151,Friends Of Senator Breslin
10152,Legislative Initiative
10153,Eastchester Democratic Committee
10154,Friends Of Valerie
10155,Pleasant Valley Republican Committee
10156,Town Of Thompson Republican Committee
10157,Committee To Elect Roberto
10158,Friends Of Elizabeth H. Emerson
10159,Ved Shravah For Assembly
1016,Phil 49
10160,Committee To Elect A. Jamal
10161,People For Prentiss
10162,Comm To Elect John M. Leventhal-Justice Of The Supreme Court
10163,Friends Of Ilan Schoenberger
10164,Orchard Park Republican Committee
10165,Independence Party Of Monroe County
10166,Ogdensburg City Republican Committee
10167,Friends Of Brett Sommer
10168,Port Jervis Republican City Committee
10169,Brian For County
1017,Johnson City Democrats
10170,Committee To Elect Alex Zapesochny
10171,Committee To Elect Daniel Mandell Jr.
10172,Friends Of Maureen Walker
